epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.283,1.65724,5.15526,3.81543,1.97011,0.2689,0.36667,0.18861,0.07418,0.30805,0.26713,0.19652,0.03391,1.87641,4.46876,23.1208,2.71209,0.00014,0.00014,0.00014
2,312.772,1.49341,3.86812,2.64109,1.74881,0.32476,0.33333,0.24227,0.08237,0.15856,0.03333,0.01173,0.00286,2.14713,6.27719,7.7362,3.09869,0.00029406,0.00029406,0.00029406
3,476.661,1.42023,3.47885,2.14062,1.70897,0.44039,0.23333,0.22454,0.11511,0.31262,0.16667,0.12956,0.03943,2.11975,6.09132,3.35533,3.11075,0.000441784,0.000441784,0.000441784
4,635.572,1.45405,3.42458,2.15021,1.78527,0.40135,0.3,0.21934,0.06844,0.0834,0.2,0.04894,0.01527,2.17965,5.63627,3.02857,3.31039,0.000583172,0.000583172,0.000583172
5,785.77,1.47905,3.4239,1.80665,1.7115,0.26347,0.13333,0.09386,0.02056,0.00017,0.03333,8e-05,2e-05,2.739,12.0299,13.868,3.77287,0.000718224,0.000718224,0.000718224
6,956.875,1.59251,3.50761,1.78961,1.74321,0.06644,0.33333,0.05148,0.01228,0.01831,0.06667,0.00147,0.00019,2.73368,11.0691,5.40542,4.5897,0.00084694,0.00084694,0.00084694
7,1122.74,1.47155,3.24066,1.55625,1.69507,0.12657,0.26667,0.06801,0.01888,0.11475,0.06667,0.01341,0.00494,3.00639,15.737,4.38537,4.80603,0.00096932,0.00096932,0.00096932
8,1289.44,1.46994,3.26666,1.60096,1.7029,0.19501,0.1,0.04369,0.01504,0.59798,0.06667,0.044,0.01154,3.91838,15.4045,5.22632,5.02176,0.00108536,0.00108536,0.00108536
9,1446.12,1.48929,3.18455,1.5248,1.68052,0.10526,0.06667,0.02238,0.00699,0.10526,0.06667,0.02016,0.00736,4.02757,11.8535,43.1864,11.148,0.00119507,0.00119507,0.00119507
10,1597.01,1.60568,3.40033,1.66377,1.7445,0.08696,0.06667,0.03706,0.00788,0,0,0,0,3.38959,43.531,47.9642,12.3524,0.00129844,0.00129844,0.00129844
11,1749.06,1.52932,3.50694,1.65928,1.76388,0.07483,0.13333,0.02739,0.00634,0.02109,0.03333,0.00138,0.00014,3.44901,9.89251,3.76501,6.37463,0.00139548,0.00139548,0.00139548
12,1904.28,1.50564,3.35046,1.51648,1.71585,0.03688,0.2,0.01911,0.00458,0.02966,0.06667,0.00245,0.00032,3.3082,15.249,4.16688,5.32158,0.00148618,0.00148618,0.00148618
13,2055.9,1.54195,3.56414,1.50583,1.72022,0.13849,0.36667,0.08853,0.02224,0.03858,0.06667,0.00344,0.00083,3.17296,72.3581,3.80081,6.43715,0.0015248,0.0015248,0.0015248
14,2220.85,1.63063,3.17616,1.493,1.78028,0.09375,0.2,0.07244,0.02702,0.00639,0.06667,0.00119,0.00045,3.12713,48.7609,61.0526,12.3622,0.0014852,0.0014852,0.0014852
15,2399.86,1.47451,3.15723,1.4263,1.65037,0.19048,0.13333,0.13297,0.03619,0.00458,0.03333,0.0004,9e-05,2.86166,23.6439,44.6541,7.39215,0.0014456,0.0014456,0.0014456
16,2564.48,1.46385,3.28263,1.45466,1.67245,0.1277,0.36667,0.22644,0.09546,0.07434,0.23333,0.04083,0.00956,2.50487,7.3186,14.2494,4.59137,0.001406,0.001406,0.001406
