epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.471,1.383,2.75292,1.82273,0.79035,0.63333,0.74139,0.4036,1.42352,10.7568,2.05188,0.00014,0.00014,0.00014
2,241.39,1.23672,1.89321,1.58136,0.80292,0.53333,0.66383,0.33245,1.37837,3.18,2.16486,0.00029406,0.00029406,0.00029406
3,356.682,1.23995,1.65477,1.5896,0.57467,0.58576,0.6348,0.3185,1.80661,2.04018,2.88529,0.000441784,0.000441784,0.000441784
4,470.151,1.40296,1.75624,1.76115,0.51239,0.46667,0.46343,0.19139,1.86836,3.4992,2.74264,0.000583172,0.000583172,0.000583172
5,583.993,1.37355,1.49778,1.67206,0.51455,0.46667,0.44562,0.1926,2.03222,2.47396,2.76571,0.000718224,0.000718224,0.000718224
6,702.804,1.5066,1.48276,1.77644,0.25772,0.36667,0.20733,0.05736,2.54664,5.70458,4.07159,0.00084694,0.00084694,0.00084694
7,822.402,1.50228,1.47068,1.77209,0.25316,0.53333,0.30584,0.09997,2.42613,8.98819,3.87385,0.00096932,0.00096932,0.00096932
8,945.105,1.54502,1.52911,1.84929,0.3244,0.5,0.3457,0.1044,2.19215,6.95025,3.68791,0.00108536,0.00108536,0.00108536
9,1072.06,1.45687,1.36114,1.6834,0.1365,0.23333,0.16884,0.03679,2.90817,11.0735,6.22959,0.00119507,0.00119507,0.00119507
10,1194.3,1.54499,1.41231,1.78132,0.18413,0.46667,0.2508,0.07791,2.53459,13.9536,5.14631,0.00129844,0.00129844,0.00129844
11,1314.79,1.59323,1.60635,1.88019,0.26589,0.7,0.46976,0.16374,2.07311,11.4527,4.25837,0.00139548,0.00139548,0.00139548
12,1435.94,1.59463,1.44121,1.8442,0.32511,0.54611,0.35974,0.08998,2.56939,8.22184,4.07387,0.00148618,0.00148618,0.00148618
